Geography,Category,year,thousands
Netherlands,Population Aged 60-64,2017,1068.3
Norway,Population Aged 60-64,2017,297.2
Portugal,Population Aged 60-64,2017,653.4
Spain,Population Aged 60-64,2017,2637.2
Sweden,Population Aged 60-64,2017,562.4
Switzerland,Population Aged 60-64,2017,480.7
Turkey,Population Aged 60-64,2017,3342.9
United Kingdom,Population Aged 60-64,2017,3566.5
World,Population Aged 65+,2017,651676.1
Asia Pacific,Population Aged 65+,2017,343860.2
Afghanistan,Population Aged 65+,2017,925.2
American Samoa,Population Aged 65+,2017,2.6
Armenia,Population Aged 65+,2017,326.4
Azerbaijan,Population Aged 65+,2017,620.6
Bangladesh,Population Aged 65+,2017,8209.1
Bhutan,Population Aged 65+,2017,44.1
Brunei Darussalam,Population Aged 65+,2017,19.4
Cambodia,Population Aged 65+,2017,703.7
China,Population Aged 65+,2017,147380.7
Fiji,Population Aged 65+,2017,45.9
French Polynesia,Population Aged 65+,2017,21.7
Guam,Population Aged 65+,2017,15.7
"Hong Kong, China",Population Aged 65+,2017,1221.7
India,Population Aged 65+,2017,79156.3
Indonesia,Population Aged 65+,2017,15014.8
Japan,Population Aged 65+,2017,35152.5
Kazakhstan,Population Aged 65+,2017,1278.5
Kiribati,Population Aged 65+,2017,4.3
Kyrgyzstan,Population Aged 65+,2017,272.7
Laos,Population Aged 65+,2017,276.6
"Macau, China",Population Aged 65+,2017,61.2
Malaysia,Population Aged 65+,2017,2050.5
Maldives,Population Aged 65+,2017,18.6
Mongolia,Population Aged 65+,2017,123.8
Myanmar,Population Aged 65+,2017,2951.7
Nauru,Population Aged 65+,2017,0.2
Nepal,Population Aged 65+,2017,1562.9
New Caledonia,Population Aged 65+,2017,24.8
North Korea,Population Aged 65+,2017,2422.6
Pakistan,Population Aged 65+,2017,8962.1
Papua New Guinea,Population Aged 65+,2017,282.5
Philippines,Population Aged 65+,2017,5176.7
Samoa,Population Aged 65+,2017,9.1
Singapore,Population Aged 65+,2017,626.5
Solomon Islands,Population Aged 65+,2017,22.7
South Korea,Population Aged 65+,2017,7075.5
Sri Lanka,Population Aged 65+,2017,2143.6
Taiwan,Population Aged 65+,2017,3106.1
Tajikistan,Population Aged 65+,2017,263.5
Thailand,Population Aged 65+,2017,7920.3
Tonga,Population Aged 65+,2017,6.1
Turkmenistan,Population Aged 65+,2017,245.6
Tuvalu,Population Aged 65+,2017,0.6
Uzbekistan,Population Aged 65+,2017,1345.0
Vanuatu,Population Aged 65+,2017,10.4
Vietnam,Population Aged 65+,2017,6755.0
Australasia,Population Aged 65+,2017,4494.2
Australia,Population Aged 65+,2017,3790.8
New Zealand,Population Aged 65+,2017,703.4
Eastern Europe,Population Aged 65+,2017,50760.8
Albania,Population Aged 65+,2017,385.8
Belarus,Population Aged 65+,2017,1393.1
Bosnia and Herzegovina,Population Aged 65+,2017,552.1
Bulgaria,Population Aged 65+,2017,1472.1
Croatia,Population Aged 65+,2017,814.3
Czech Republic,Population Aged 65+,2017,1988.9
Estonia,Population Aged 65+,2017,254.5
Georgia,Population Aged 65+,2017,565.0
Hungary,Population Aged 65+,2017,1828.2
Latvia,Population Aged 65+,2017,387.9
Lithuania,Population Aged 65+,2017,550.2
Moldova,Population Aged 65+,2017,435.7
Montenegro,Population Aged 65+,2017,91.1
North Macedonia,Population Aged 65+,2017,275.2
Poland,Population Aged 65+,2017,6303.4
Romania,Population Aged 65+,2017,3494.1
Russia,Population Aged 65+,2017,20534.0
Serbia,Population Aged 65+,2017,1362.5
Slovakia,Population Aged 65+,2017,814.7
Slovenia,Population Aged 65+,2017,390.4
Ukraine,Population Aged 65+,2017,6867.5
Latin America,Population Aged 65+,2017,52176.1
Anguilla,Population Aged 65+,2017,1.1
Antigua and Barbuda,Population Aged 65+,2017,8.2
Argentina,Population Aged 65+,2017,4924.8
Aruba,Population Aged 65+,2017,13.8
Bahamas,Population Aged 65+,2017,26.9
Barbados,Population Aged 65+,2017,44.1
Belize,Population Aged 65+,2017,17.3
Bermuda,Population Aged 65+,2017,10.9
Bolivia,Population Aged 65+,2017,789.2
Brazil,Population Aged 65+,2017,17856.2
British Virgin Islands,Population Aged 65+,2017,2.1
Cayman Islands,Population Aged 65+,2017,3.3
Chile,Population Aged 65+,2017,2084.2
Colombia,Population Aged 65+,2017,4001.4
Costa Rica,Population Aged 65+,2017,390.7
Cuba,Population Aged 65+,2017,1679.0
Curacao,Population Aged 65+,2017,26.4
Dominica,Population Aged 65+,2017,8.4
Dominican Republic,Population Aged 65+,2017,723.0
Ecuador,Population Aged 65+,2017,1155.9
El Salvador,Population Aged 65+,2017,517.4
French Guiana,Population Aged 65+,2017,13.1
Grenada,Population Aged 65+,2017,10.6
Guadeloupe,Population Aged 65+,2017,70.8
Guatemala,Population Aged 65+,2017,814.2
Guyana,Population Aged 65+,2017,48.3
Haiti,Population Aged 65+,2017,529.4
Honduras,Population Aged 65+,2017,430.0
Jamaica,Population Aged 65+,2017,253.5
Martinique,Population Aged 65+,2017,75.4
Mexico,Population Aged 65+,2017,8737.4
Nicaragua,Population Aged 65+,2017,321.0
Panama,Population Aged 65+,2017,325.3
Paraguay,Population Aged 65+,2017,428.4
Peru,Population Aged 65+,2017,2473.1
Puerto Rico,Population Aged 65+,2017,567.6
St Kitts and Nevis,Population Aged 65+,2017,4.3
St Lucia,Population Aged 65+,2017,17.4
St Vincent and the Grenadines,Population Aged 65+,2017,10.4
Suriname,Population Aged 65+,2017,38.8
Trinidad and Tobago,Population Aged 65+,2017,143.4
Uruguay,Population Aged 65+,2017,509.5
US Virgin Islands,Population Aged 65+,2017,19.7
Venezuela,Population Aged 65+,2017,2050.1
Middle East and Africa,Population Aged 65+,2017,53252.0
Algeria,Population Aged 65+,2017,2556.2
Angola,Population Aged 65+,2017,666.3
Bahrain,Population Aged 65+,2017,37.6
Benin,Population Aged 65+,2017,361.8
Botswana,Population Aged 65+,2017,90.1
Burkina Faso,Population Aged 65+,2017,460.5
Burundi,Population Aged 65+,2017,235.0
Cabo Verde,Population Aged 65+,2017,24.1
Cameroon,Population Aged 65+,2017,667.6
Central African Republic,Population Aged 65+,2017,128.7
Chad,Population Aged 65+,2017,368.8
Comoros,Population Aged 65+,2017,24.0
"Congo, Democratic Republic",Population Aged 65+,2017,2456.8
Congo-Brazzaville,Population Aged 65+,2017,134.7
Côte d'Ivoire,Population Aged 65+,2017,689.7
Djibouti,Population Aged 65+,2017,42.2
Egypt,Population Aged 65+,2017,4938.5
Equatorial Guinea,Population Aged 65+,2017,31.1
Eritrea,Population Aged 65+,2017,152.7
Eswatini,Population Aged 65+,2017,45.0
Ethiopia,Population Aged 65+,2017,3711.5
Gabon,Population Aged 65+,2017,73.5
Gambia,Population Aged 65+,2017,57.9
Ghana,Population Aged 65+,2017,887.9
Guinea,Population Aged 65+,2017,348.5
Guinea-Bissau,Population Aged 65+,2017,50.3
Iran,Population Aged 65+,2017,4884.4
Iraq,Population Aged 65+,2017,1203.7
Israel,Population Aged 65+,2017,995.4
Jordan,Population Aged 65+,2017,370.0
Kenya,Population Aged 65+,2017,1130.6
Kuwait,Population Aged 65+,2017,98.8
Lebanon,Population Aged 65+,2017,457.1
Lesotho,Population Aged 65+,2017,101.3
Liberia,Population Aged 65+,2017,150.7
Libya,Population Aged 65+,2017,284.0
Madagascar,Population Aged 65+,2017,745.9
Malawi,Population Aged 65+,2017,466.4
Mali,Population Aged 65+,2017,462.2
Mauritania,Population Aged 65+,2017,133.8
Mauritius,Population Aged 65+,2017,139.2
Morocco,Population Aged 65+,2017,2397.0
Mozambique,Population Aged 65+,2017,826.3
Namibia,Population Aged 65+,2017,87.3
Niger,Population Aged 65+,2017,560.0
Nigeria,Population Aged 65+,2017,5218.8
Oman,Population Aged 65+,2017,106.4
Qatar,Population Aged 65+,2017,43.8
Réunion,Population Aged 65+,2017,98.7
Rwanda,Population Aged 65+,2017,340.2
Sao Tomé e Príncipe,Population Aged 65+,2017,6.0
Saudi Arabia,Population Aged 65+,2017,1083.3
Senegal,Population Aged 65+,2017,472.6
Seychelles,Population Aged 65+,2017,7.1
Sierra Leone,Population Aged 65+,2017,221.7
Somalia,Population Aged 65+,2017,415.3
South Africa,Population Aged 65+,2017,2967.1
South Sudan,Population Aged 65+,2017,371.0
Sudan,Population Aged 65+,2017,1441.8
Syria,Population Aged 65+,2017,745.5
Tanzania,Population Aged 65+,2017,1409.5
Togo,Population Aged 65+,2017,218.7
Tunisia,Population Aged 65+,2017,915.6
Uganda,Population Aged 65+,2017,788.3
United Arab Emirates,Population Aged 65+,2017,92.6
Yemen,Population Aged 65+,2017,793.3
Zambia,Population Aged 65+,2017,350.5
Zimbabwe,Population Aged 65+,2017,409.6
North America,Population Aged 65+,2017,57118.9
Canada,Population Aged 65+,2017,6135.0
USA,Population Aged 65+,2017,50983.8
Western Europe,Population Aged 65+,2017,90014.0
Austria,Population Aged 65+,2017,1625.5
Belgium,Population Aged 65+,2017,2095.1
Cyprus,Population Aged 65+,2017,158.5
Denmark,Population Aged 65+,2017,1095.2
Finland,Population Aged 65+,2017,1150.0
France,Population Aged 65+,2017,12620.5
Germany,Population Aged 65+,2017,17509.7
Gibraltar,Population Aged 65+,2017,5.5
Greece,Population Aged 65+,2017,2319.7
Iceland,Population Aged 65+,2017,48.3
Ireland,Population Aged 65+,2017,646.5
Italy,Population Aged 65+,2017,13461.9
Liechtenstein,Population Aged 65+,2017,6.4
Luxembourg,Population Aged 65+,2017,83.4
Malta,Population Aged 65+,2017,87.1
Monaco,Population Aged 65+,2017,14.7
Netherlands,Population Aged 65+,2017,3159.7
Norway,Population Aged 65+,2017,874.8
Portugal,Population Aged 65+,2017,2176.6
Spain,Population Aged 65+,2017,8821.6
Sweden,Population Aged 65+,2017,1976.9
Switzerland,Population Aged 65+,2017,1523.1
Turkey,Population Aged 65+,2017,6651.5
United Kingdom,Population Aged 65+,2017,11901.7
Asia Pacific,Population Aged 60-64,2018,180150.3
Afghanistan,Population Aged 60-64,2018,568.4
Armenia,Population Aged 60-64,2018,176.9
Azerbaijan,Population Aged 60-64,2018,419.4
Bangladesh,Population Aged 60-64,2018,3839.4
Bhutan,Population Aged 60-64,2018,19.6
Brunei Darussalam,Population Aged 60-64,2018,15.4
Cambodia,Population Aged 60-64,2018,431.6
China,Population Aged 60-64,2018,79802.8
Fiji,Population Aged 60-64,2018,31.2
French Polynesia,Population Aged 60-64,2018,12.3
Guam,Population Aged 60-64,2018,7.4
"Hong Kong, China",Population Aged 60-64,2018,551.5
India,Population Aged 60-64,2018,46720.0
Indonesia,Population Aged 60-64,2018,9443.1
Japan,Population Aged 60-64,2018,7590.2
Kazakhstan,Population Aged 60-64,2018,771.6
Kiribati,Population Aged 60-64,2018,2.7
Kyrgyzstan,Population Aged 60-64,2018,194.6
Laos,Population Aged 60-64,2018,172.2
"Macau, China",Population Aged 60-64,2018,40.9
Malaysia,Population Aged 60-64,2018,1154.0
Maldives,Population Aged 60-64,2018,10.6
Mongolia,Population Aged 60-64,2018,85.1
Myanmar,Population Aged 60-64,2018,1972.9
Nepal,Population Aged 60-64,2018,788.2
New Caledonia,Population Aged 60-64,2018,11.7
North Korea,Population Aged 60-64,2018,1164.5
Pakistan,Population Aged 60-64,2018,4748.7
Papua New Guinea,Population Aged 60-64,2018,204.6
Philippines,Population Aged 60-64,2018,3142.8
Samoa,Population Aged 60-64,2018,5.5
Singapore,Population Aged 60-64,2018,441.9
Solomon Islands,Population Aged 60-64,2018,12.1
South Korea,Population Aged 60-64,2018,3384.3
Sri Lanka,Population Aged 60-64,2018,1051.6
Taiwan,Population Aged 60-64,2018,1581.8
Tajikistan,Population Aged 60-64,2018,210.2
Thailand,Population Aged 60-64,2018,4037.5
Tonga,Population Aged 60-64,2018,2.8
Turkmenistan,Population Aged 60-64,2018,183.6
Uzbekistan,Population Aged 60-64,2018,1073.1
Vanuatu,Population Aged 60-64,2018,6.1
Vietnam,Population Aged 60-64,2018,4065.4
Australasia,Population Aged 60-64,2018,1626.6
Australia,Population Aged 60-64,2018,1359.1
New Zealand,Population Aged 60-64,2018,267.5
Eastern Europe,Population Aged 60-64,2018,21824.9
Albania,Population Aged 60-64,2018,173.8
Belarus,Population Aged 60-64,2018,619.0
Bosnia and Herzegovina,Population Aged 60-64,2018,256.5
Bulgaria,Population Aged 60-64,2018,487.5
Croatia,Population Aged 60-64,2018,298.5
Czech Republic,Population Aged 60-64,2018,698.6
Estonia,Population Aged 60-64,2018,84.1
Georgia,Population Aged 60-64,2018,234.1
Hungary,Population Aged 60-64,2018,721.9
Latvia,Population Aged 60-64,2018,125.9
Lithuania,Population Aged 60-64,2018,178.4
Moldova,Population Aged 60-64,2018,270.0
Montenegro,Population Aged 60-64,2018,40.6
North Macedonia,Population Aged 60-64,2018,126.8
Poland,Population Aged 60-64,2018,2773.3
Romania,Population Aged 60-64,2018,1350.0
Russia,Population Aged 60-64,2018,9626.8
Serbia,Population Aged 60-64,2018,533.0
Slovakia,Population Aged 60-64,2018,367.0
Slovenia,Population Aged 60-64,2018,146.5
Ukraine,Population Aged 60-64,2018,2712.5
Latin America,Population Aged 60-64,2018,24552.7
Antigua and Barbuda,Population Aged 60-64,2018,4.2
Argentina,Population Aged 60-64,2018,1877.4
Aruba,Population Aged 60-64,2018,7.2
Bahamas,Population Aged 60-64,2018,15.6
Barbados,Population Aged 60-64,2018,17.5
Belize,Population Aged 60-64,2018,9.3
Bolivia,Population Aged 60-64,2018,320.6
Brazil,Population Aged 60-64,2018,8827.3
Chile,Population Aged 60-64,2018,945.1
Colombia,Population Aged 60-64,2018,1954.5
Costa Rica,Population Aged 60-64,2018,209.5
Cuba,Population Aged 60-64,2018,583.9
Curacao,Population Aged 60-64,2018,10.6
Dominican Republic,Population Aged 60-64,2018,362.3
Ecuador,Population Aged 60-64,2018,568.0
El Salvador,Population Aged 60-64,2018,214.4
French Guiana,Population Aged 60-64,2018,9.2
Grenada,Population Aged 60-64,2018,5.2
Guadeloupe,Population Aged 60-64,2018,26.0
Guatemala,Population Aged 60-64,2018,388.8
Guyana,Population Aged 60-64,2018,27.5
Haiti,Population Aged 60-64,2018,281.6
Honduras,Population Aged 60-64,2018,221.9
Jamaica,Population Aged 60-64,2018,113.5
Martinique,Population Aged 60-64,2018,26.9
Mexico,Population Aged 60-64,2018,4236.2
Nicaragua,Population Aged 60-64,2018,189.8
Panama,Population Aged 60-64,2018,147.4
Paraguay,Population Aged 60-64,2018,213.1
Peru,Population Aged 60-64,2018,1164.5
Puerto Rico,Population Aged 60-64,2018,188.6
St Lucia,Population Aged 60-64,2018,7.6
St Vincent and the Grenadines,Population Aged 60-64,2018,4.9
Suriname,Population Aged 60-64,2018,19.2
Trinidad and Tobago,Population Aged 60-64,2018,71.1
Uruguay,Population Aged 60-64,2018,173.2
US Virgin Islands,Population Aged 60-64,2018,7.2
Venezuela,Population Aged 60-64,2018,1102.0
Middle East and Africa,Population Aged 60-64,2018,31536.1
Algeria,Population Aged 60-64,2018,1334.5
Angola,Population Aged 60-64,2018,422.4
Bahrain,Population Aged 60-64,2018,37.6
Benin,Population Aged 60-64,2018,203.4
Botswana,Population Aged 60-64,2018,56.4
Burkina Faso,Population Aged 60-64,2018,291.9
Burundi,Population Aged 60-64,2018,189.5
Cabo Verde,Population Aged 60-64,2018,14.4
Cameroon,Population Aged 60-64,2018,397.4
Central African Republic,Population Aged 60-64,2018,77.4
Chad,Population Aged 60-64,2018,228.4
Comoros,Population Aged 60-64,2018,16.3
"Congo, Democratic Republic",Population Aged 60-64,2018,1381.8
Congo-Brazzaville,Population Aged 60-64,2018,88.4
Côte d'Ivoire,Population Aged 60-64,2018,454.4
Djibouti,Population Aged 60-64,2018,23.2
Egypt,Population Aged 60-64,2018,2684.4
Equatorial Guinea,Population Aged 60-64,2018,19.7
Eritrea,Population Aged 60-64,2018,67.9
Eswatini,Population Aged 60-64,2018,19.5
Ethiopia,Population Aged 60-64,2018,1930.9
Gabon,Population Aged 60-64,2018,37.9
Gambia,Population Aged 60-64,2018,31.3
Ghana,Population Aged 60-64,2018,582.3
Guinea,Population Aged 60-64,2018,223.6
Guinea-Bissau,Population Aged 60-64,2018,33.4
Iran,Population Aged 60-64,2018,2885.4
Iraq,Population Aged 60-64,2018,697.6
Israel,Population Aged 60-64,2018,371.5
Jordan,Population Aged 60-64,2018,190.5
Kenya,Population Aged 60-64,2018,816.2
Kuwait,Population Aged 60-64,2018,127.8
Lebanon,Population Aged 60-64,2018,235.5
Lesotho,Population Aged 60-64,2018,53.3
Liberia,Population Aged 60-64,2018,91.5
Libya,Population Aged 60-64,2018,150.1
Madagascar,Population Aged 60-64,2018,497.8
Malawi,Population Aged 60-64,2018,256.7
Mali,Population Aged 60-64,2018,273.3
Mauritania,Population Aged 60-64,2018,81.3
Mauritius,Population Aged 60-64,2018,72.2
Morocco,Population Aged 60-64,2018,1461.7
Mozambique,Population Aged 60-64,2018,453.4
Namibia,Population Aged 60-64,2018,47.4
Niger,Population Aged 60-64,2018,343.7
Nigeria,Population Aged 60-64,2018,3432.2
Oman,Population Aged 60-64,2018,77.6
Qatar,Population Aged 60-64,2018,55.8
Réunion,Population Aged 60-64,2018,47.3
Rwanda,Population Aged 60-64,2018,235.0
Sao Tomé e Príncipe,Population Aged 60-64,2018,3.9
Saudi Arabia,Population Aged 60-64,2018,823.8
Senegal,Population Aged 60-64,2018,271.2
Seychelles,Population Aged 60-64,2018,4.3
Sierra Leone,Population Aged 60-64,2018,128.2
Somalia,Population Aged 60-64,2018,251.3
South Africa,Population Aged 60-64,2018,1723.4
South Sudan,Population Aged 60-64,2018,190.3
Sudan,Population Aged 60-64,2018,820.0
Syria,Population Aged 60-64,2018,437.8
Tanzania,Population Aged 60-64,2018,867.5
Togo,Population Aged 60-64,2018,138.5
Tunisia,Population Aged 60-64,2018,513.1
Uganda,Population Aged 60-64,2018,521.9
United Arab Emirates,Population Aged 60-64,2018,116.6
Yemen,Population Aged 60-64,2018,472.4
Zambia,Population Aged 60-64,2018,216.5
Zimbabwe,Population Aged 60-64,2018,232.1
North America,Population Aged 60-64,2018,22861.4
Canada,Population Aged 60-64,2018,2457.5
USA,Population Aged 60-64,2018,20403.9
Western Europe,Population Aged 60-64,2018,28870.9
Austria,Population Aged 60-64,2018,523.6
Belgium,Population Aged 60-64,2018,697.2
Cyprus,Population Aged 60-64,2018,61.3
Denmark,Population Aged 60-64,2018,341.6
Finland,Population Aged 60-64,2018,367.2
France,Population Aged 60-64,2018,3951.9
Germany,Population Aged 60-64,2018,5375.1
Greece,Population Aged 60-64,2018,659.6
Iceland,Population Aged 60-64,2018,19.4
Ireland,Population Aged 60-64,2018,244.8
Italy,Population Aged 60-64,2018,3750.5
Luxembourg,Population Aged 60-64,2018,32.2
Malta,Population Aged 60-64,2018,29.2
Netherlands,Population Aged 60-64,2018,1079.7
Norway,Population Aged 60-64,2018,300.2
Portugal,Population Aged 60-64,2018,659.1
Spain,Population Aged 60-64,2018,2713.8
Sweden,Population Aged 60-64,2018,564.7
Switzerland,Population Aged 60-64,2018,491.4
Turkey,Population Aged 60-64,2018,3371.2
United Kingdom,Population Aged 60-64,2018,3637.1
World,Population Aged 65+,2018,676488.1
Asia Pacific,Population Aged 65+,2018,360014.5
Afghanistan,Population Aged 65+,2018,959.9
American Samoa,Population Aged 65+,2018,2.6
Armenia,Population Aged 65+,2018,332.0
Azerbaijan,Population Aged 65+,2018,648.1
Bangladesh,Population Aged 65+,2018,8318.6
Bhutan,Population Aged 65+,2018,45.3
Brunei Darussalam,Population Aged 65+,2018,20.9
Cambodia,Population Aged 65+,2018,739.8
China,Population Aged 65+,2018,156504.3
Fiji,Population Aged 65+,2018,47.9
French Polynesia,Population Aged 65+,2018,22.9
Guam,Population Aged 65+,2018,16.4
"Hong Kong, China",Population Aged 65+,2018,1266.2
India,Population Aged 65+,2018,82667.7
Indonesia,Population Aged 65+,2018,15653.1
Japan,Population Aged 65+,2018,35576.8
Kazakhstan,Population Aged 65+,2018,1340.7
Kiribati,Population Aged 65+,2018,4.6
Kyrgyzstan,Population Aged 65+,2018,282.2
Laos,Population Aged 65+,2018,287.0
"Macau, China",Population Aged 65+,2018,66.4
Malaysia,Population Aged 65+,2018,2151.1
Maldives,Population Aged 65+,2018,18.8
Mongolia,Population Aged 65+,2018,129.0
Myanmar,Population Aged 65+,2018,3090.4
Nauru,Population Aged 65+,2018,0.2
Nepal,Population Aged 65+,2018,1604.7
New Caledonia,Population Aged 65+,2018,25.7
North Korea,Population Aged 65+,2018,2401.4
Pakistan,Population Aged 65+,2018,9155.1
Papua New Guinea,Population Aged 65+,2018,294.2
Philippines,Population Aged 65+,2018,5450.7
Samoa,Population Aged 65+,2018,9.4
Singapore,Population Aged 65+,2018,685.0
Solomon Islands,Population Aged 65+,2018,23.5
South Korea,Population Aged 65+,2018,7366.7
Sri Lanka,Population Aged 65+,2018,2229.1
Taiwan,Population Aged 65+,2018,3268.0
Tajikistan,Population Aged 65+,2018,274.1
Thailand,Population Aged 65+,2018,8268.8
Tonga,Population Aged 65+,2018,6.2
Turkmenistan,Population Aged 65+,2018,257.9
Tuvalu,Population Aged 65+,2018,0.6
Uzbekistan,Population Aged 65+,2018,1418.4
Vanuatu,Population Aged 65+,2018,10.6
Vietnam,Population Aged 65+,2018,7071.7
Australasia,Population Aged 65+,2018,4637.8
Australia,Population Aged 65+,2018,3913.0
New Zealand,Population Aged 65+,2018,724.9
Eastern Europe,Population Aged 65+,2018,51975.7
Albania,Population Aged 65+,2018,397.3
Belarus,Population Aged 65+,2018,1416.0
Bosnia and Herzegovina,Population Aged 65+,2018,576.2
Bulgaria,Population Aged 65+,2018,1481.9
Croatia,Population Aged 65+,2018,825.4
Czech Republic,Population Aged 65+,2018,2040.2
Estonia,Population Aged 65+,2018,258.4
Georgia,Population Aged 65+,2018,572.7
Hungary,Population Aged 65+,2018,1852.0
Latvia,Population Aged 65+,2018,388.9
Lithuania,Population Aged 65+,2018,551.8
Moldova,Population Aged 65+,2018,457.7
Montenegro,Population Aged 65+,2018,93.8
North Macedonia,Population Aged 65+,2018,283.4
Poland,Population Aged 65+,2018,6520.2
Romania,Population Aged 65+,2018,3549.2
Russia,Population Aged 65+,2018,21102.6
Serbia,Population Aged 65+,2018,1394.6
Slovakia,Population Aged 65+,2018,844.9
Slovenia,Population Aged 65+,2018,401.3
Ukraine,Population Aged 65+,2018,6967.3
Latin America,Population Aged 65+,2018,54157.3
Anguilla,Population Aged 65+,2018,1.1
Antigua and Barbuda,Population Aged 65+,2018,8.5
Argentina,Population Aged 65+,2018,5030.4
Aruba,Population Aged 65+,2018,14.4
Bahamas,Population Aged 65+,2018,28.0
Barbados,Population Aged 65+,2018,45.4
Belize,Population Aged 65+,2018,18.1
Bermuda,Population Aged 65+,2018,11.2
Bolivia,Population Aged 65+,2018,817.5
Brazil,Population Aged 65+,2018,18583.9
British Virgin Islands,Population Aged 65+,2018,2.1
Cayman Islands,Population Aged 65+,2018,3.4
Chile,Population Aged 65+,2018,2175.7
Colombia,Population Aged 65+,2018,4195.1
Costa Rica,Population Aged 65+,2018,410.3
Cuba,Population Aged 65+,2018,1723.6
Curacao,Population Aged 65+,2018,27.3
Dominica,Population Aged 65+,2018,8.5
Dominican Republic,Population Aged 65+,2018,752.6
Ecuador,Population Aged 65+,2018,1210.8
El Salvador,Population Aged 65+,2018,531.8
French Guiana,Population Aged 65+,2018,14.2
Grenada,Population Aged 65+,2018,10.7
Guadeloupe,Population Aged 65+,2018,73.0
Guatemala,Population Aged 65+,2018,850.2
Guyana,Population Aged 65+,2018,50.4
Haiti,Population Aged 65+,2018,549.1
Honduras,Population Aged 65+,2018,449.8
Jamaica,Population Aged 65+,2018,257.9
Martinique,Population Aged 65+,2018,77.4
Mexico,Population Aged 65+,2018,9045.0
Nicaragua,Population Aged 65+,2018,337.7
Panama,Population Aged 65+,2018,339.0
Paraguay,Population Aged 65+,2018,447.2
Peru,Population Aged 65+,2018,2607.2
Puerto Rico,Population Aged 65+,2018,576.5
St Kitts and Nevis,Population Aged 65+,2018,4.3
St Lucia,Population Aged 65+,2018,17.9
St Vincent and the Grenadines,Population Aged 65+,2018,10.6
Suriname,Population Aged 65+,2018,39.8
Trinidad and Tobago,Population Aged 65+,2018,149.3
Uruguay,Population Aged 65+,2018,515.5
US Virgin Islands,Population Aged 65+,2018,20.2
Venezuela,Population Aged 65+,2018,2115.1
Middle East and Africa,Population Aged 65+,2018,55211.3
Algeria,Population Aged 65+,2018,2686.6
Angola,Population Aged 65+,2018,682.4
Bahrain,Population Aged 65+,2018,38.7
Benin,Population Aged 65+,2018,373.1
Botswana,Population Aged 65+,2018,95.2
Burkina Faso,Population Aged 65+,2018,473.9
Burundi,Population Aged 65+,2018,249.4
Cabo Verde,Population Aged 65+,2018,24.8
Cameroon,Population Aged 65+,2018,684.9
Central African Republic,Population Aged 65+,2018,130.4
Chad,Population Aged 65+,2018,382.3
Comoros,Population Aged 65+,2018,24.9
"Congo, Democratic Republic",Population Aged 65+,2018,2536.7
Congo-Brazzaville,Population Aged 65+,2018,140.3
Côte d'Ivoire,Population Aged 65+,2018,712.3
Djibouti,Population Aged 65+,2018,43.5
Egypt,Population Aged 65+,2018,5090.2
Equatorial Guinea,Population Aged 65+,2018,31.9
Eritrea,Population Aged 65+,2018,155.5
Eswatini,Population Aged 65+,2018,45.5
Ethiopia,Population Aged 65+,2018,3825.7
Gabon,Population Aged 65+,2018,75.1
Gambia,Population Aged 65+,2018,59.0
Ghana,Population Aged 65+,2018,914.2
Guinea,Population Aged 65+,2018,361.0
Guinea-Bissau,Population Aged 65+,2018,52.5
Iran,Population Aged 65+,2018,5070.6
Iraq,Population Aged 65+,2018,1265.4
Israel,Population Aged 65+,2018,1035.0
Jordan,Population Aged 65+,2018,380.9
Kenya,Population Aged 65+,2018,1200.1
Kuwait,Population Aged 65+,2018,110.0
Lebanon,Population Aged 65+,2018,477.2
Lesotho,Population Aged 65+,2018,102.7
Liberia,Population Aged 65+,2018,156.1
Libya,Population Aged 65+,2018,292.1
Madagascar,Population Aged 65+,2018,781.1
Malawi,Population Aged 65+,2018,478.9
Mali,Population Aged 65+,2018,475.0
Mauritania,Population Aged 65+,2018,138.1
Mauritius,Population Aged 65+,2018,146.0
Morocco,Population Aged 65+,2018,2520.0
Mozambique,Population Aged 65+,2018,848.9
Namibia,Population Aged 65+,2018,88.2
Niger,Population Aged 65+,2018,582.9
Nigeria,Population Aged 65+,2018,5355.7
Oman,Population Aged 65+,2018,110.4
Qatar,Population Aged 65+,2018,49.5
Réunion,Population Aged 65+,2018,103.6
Rwanda,Population Aged 65+,2018,360.7
Sao Tomé e Príncipe,Population Aged 65+,2018,6.2
Saudi Arabia,Population Aged 65+,2018,1153.1
Senegal,Population Aged 65+,2018,487.8
Seychelles,Population Aged 65+,2018,7.3
Sierra Leone,Population Aged 65+,2018,225.5
Somalia,Population Aged 65+,2018,430.4
South Africa,Population Aged 65+,2018,3064.2
South Sudan,Population Aged 65+,2018,371.6
Sudan,Population Aged 65+,2018,1496.4
Syria,Population Aged 65+,2018,773.2
Tanzania,Population Aged 65+,2018,1463.9
Togo,Population Aged 65+,2018,225.7
Tunisia,Population Aged 65+,2018,955.7
Uganda,Population Aged 65+,2018,827.5
United Arab Emirates,Population Aged 65+,2018,98.8
Yemen,Population Aged 65+,2018,819.5
Zambia,Population Aged 65+,2018,363.5
Zimbabwe,Population Aged 65+,2018,421.7
North America,Population Aged 65+,2018,58969.8
Canada,Population Aged 65+,2018,6355.6
USA,Population Aged 65+,2018,52614.2
Western Europe,Population Aged 65+,2018,91521.7
Austria,Population Aged 65+,2018,1647.0
Belgium,Population Aged 65+,2018,2130.6
